Elevation (deg)
63.948
63.925
63.902
63.879
63.855
63.832
63.808
63.784
63.76
63.736
63.712
63.688
63.663
63.639
63.614
63.589
63.564
63.539
63.514
63.489
63.464
63.438
63.413
63.387
63.361
63.335
63.309
63.283
63.257
63.23
63.204
63.177
63.15
63.123
63.096
63.069
63.042
63.015
62.987
62.96
62.932
62.904
62.877
62.849
62.821
62.792
62.764
62.736
62.707
62.678
62.65
62.621
62.592
62.563
62.534
62.504
62.475
62.446
62.416
62.386
62.356
62.327
62.297
62.266
62.236
62.206
62.175
62.145
62.114
62.084
62.053
62.022
61.991
61.96
61.928
61.897
61.866
61.834
61.803
61.771
61.739
61.707
61.675
61.643
61.611
61.579
61.546
61.514
61.481
61.448
61.416
61.383
61.35
61.317
61.284
61.25
61.217
61.184
61.15
61.116
61.083
61.049
61.015
60.981
60.947
60.913
60.879
60.844
60.81
60.775
60.741
60.706
60.671
60.637
60.602
60.567
60.531
60.496
60.461
60.426
60.39
60.355
60.319
60.283
60.248
60.212
60.176
60.14
60.104
60.067
60.031
59.995
59.958
59.922
59.885
59.848
59.812
59.775
59.738
59.701
59.664
59.627
59.589
59.552
59.515
59.477
59.44
59.402
59.364
59.327
59.289
59.251
59.213
59.175
59.136
59.098
59.06
59.022
58.983
58.945
58.906
58.867
58.829
58.79
58.751
58.712
58.673
58.634
58.595
58.555
58.516
58.477
58.437
58.398
58.358
58.318
58.279
58.239
58.199
58.159
58.119
58.079
58.039
57.999
57.958
57.918
57.878
57.837
57.797
57.756
57.715
57.675
57.634
57.593
57.552
57.511
57.47
57.429
57.388
57.346
57.305
57.264
57.222
57.181
57.139
57.098
57.056
57.014
56.972
56.93
56.889
56.847
56.804
56.762
56.72
56.678
56.636
56.593
56.551
56.508
56.466
56.423
56.381
56.338
56.295
56.253
56.21
56.167
56.124
56.081
56.038
55.995
55.951
55.908
55.865
55.821
55.778
55.734
55.691
55.647
55.604
55.56
55.516
55.473
55.429
55.385
55.341
55.297
55.253
55.209
55.164
55.12
55.076
55.032
54.987
54.943
54.898
54.854
54.809
54.765
54.72
54.675
54.631
54.586
54.541
54.496
54.451
54.406
54.361
54.316
54.271
54.225
54.18
54.135
54.09
54.044
53.999
53.953
53.908
53.862
53.816
53.771
53.725
53.679
53.633
53.588
53.542
53.496
53.45
53.404
53.358
53.312
53.265
53.219
53.173
53.127
53.08
53.034
52.987
52.941
52.894
52.848
52.801
52.755
52.708
52.661
52.615
52.568
52.521
52.474
52.427
52.38
52.333
52.286
52.239
52.192
52.145
52.097
52.05
52.003
51.955
51.908
51.861
51.813
51.766
51.718
51.671
51.623
51.575
51.528
51.48
51.432
51.384
51.337
51.289
51.241
51.193
51.145
51.097
51.049
51.001
50.953
50.904
50.856
50.808
50.76
50.711
50.663
50.615
50.566
50.518
50.469
50.421
50.372
50.324
50.275
50.226
50.178
50.129
50.08
50.031
49.982
49.934
49.885
49.836
49.787
49.738
49.689
49.64
49.591
49.541
49.492
49.443
49.394
49.345
49.295
49.246
49.197
49.147
49.098
49.048
48.999
48.949
48.9
48.85
48.801
48.751
48.701
48.652
48.602
48.552
48.502
48.452
48.403
48.353
48.303
48.253
48.203
48.153
48.103
48.053
48.003
47.953
47.902
47.852
47.802
47.752
47.701
47.651
47.601
47.551
47.5
47.45
47.399
47.349
47.298
47.248
47.197
47.147
47.096
47.045
46.995
46.944
46.893
46.843
46.792
46.741
46.69
46.64
46.589
46.538
46.487
46.436
46.385
46.334
46.283
46.232
46.181
46.13
46.079
46.027
45.976
45.925
45.874
45.823
45.771
45.72
45.669
45.617
45.566
45.515
45.463
45.412
45.36
45.309
45.257
45.206
45.154
45.102
45.051
44.999
44.948
44.896
44.844
44.792
44.741
44.689
44.637
44.585
44.533
44.482
44.43
44.378
44.326
44.274
44.222
44.17
44.118
44.066
44.014
43.962
43.91
43.857
43.805
43.753
43.701
43.649
43.596
43.544
43.492
43.44
43.387
43.335
43.283
43.23
43.178
43.125
43.073
43.02
42.968
42.915
42.863
42.81
42.758
42.705
42.653
42.6
42.547
42.495
42.442
42.389
42.336
42.284
42.231
42.178
42.125
42.072
42.02
41.967
41.914
41.861
41.808
41.755
41.702
41.649
41.596
41.543
41.49
41.437
41.384
41.331
41.278
41.225
41.171
41.118
41.065
41.012
40.959
40.905
40.852
40.799
40.746
40.692
40.639
40.586
40.532
40.479
40.426
40.372
40.319
40.265
40.212
40.158
40.105
40.051
39.998
39.944
39.891
39.837
39.784
39.73
39.676
39.623
39.569
39.515
39.462
39.408
39.354
39.3
39.247
39.193
39.139
39.085
39.031
38.978
38.924
38.87
38.816
38.762
38.708
38.654
38.6
38.546
38.492
38.438
38.384
38.33
38.276
38.222
38.168
38.114
38.06
38.006
37.952
37.898
37.843
37.789
37.735
37.681
37.627
37.572
37.518
37.464
37.41
37.355
37.301
37.247
37.192
37.138
37.084
37.029
36.975
36.921
36.866
36.812
36.757
36.703
36.648
36.594
36.539
36.485
36.43
36.376
36.321
36.267
36.212
36.158
36.103
36.048
35.994
35.939
35.884
35.83
35.775
35.72
35.666
35.611
35.556
35.502
35.447
35.392
35.337
35.282
35.228
35.173
35.118
35.063
35.008
34.953
34.899
34.844
34.789
34.734
34.679
34.624
34.569
34.514
34.459
34.404
34.349
34.294
34.239
34.184
34.129
34.074
34.019
33.964
33.909
33.854
33.798
33.743
33.688
33.633
33.578
33.523
33.468
33.412
33.357
33.302
33.247
33.191
33.136
33.081
33.026
32.97
32.915
32.86
32.804
32.749
32.694
32.638
32.583
32.528
32.472
32.417
32.362
32.306
32.251
32.195
32.14
32.084
32.029
31.974
31.918
31.863
31.807
31.752
31.696
31.641
